Chemical	Batch	17.16_575.4057m/z	16.71_289.1796m/z	11.32_307.1692m/z	14.41_295.1664m/z	13.00_307.1709m/z	11.00_299.2016m/z	17.65_371.2204m/z	10.73_287.2364m/z	15.99_633.4181m/z	16.62_399.2143m/z	10.38_329.2079m/z	11.97_317.2099m/z	10.60_329.2117m/z	14.41_307.2258m/z	14.27_313.2143m/z	14.94_271.1684m/z	9.56_255.2105m/z	11.86_329.2099m/z	11.62_329.2107m/z	12.54_333.1693m/z	14.37_311.1972m/z	16.88_571.4469m/z	10.26_304.2043n	12.86_285.1833m/z	15.05_311.1978m/z	11.57_323.1611m/z	17.77_271.1680m/z	14.04_315.2299m/z	14.16_325.1413m/z	13.89_307.2266m/z	14.66_573.3221m/z	15.55_315.2329m/z	16.05_313.2176m/z	8.55_345.2052m/z	8.55_327.1939m/z	9.71_285.1840m/z	6.52_721.3918m/z	8.90_361.2017m/z	15.33_315.2285m/z	12.81_307.1690m/z	11.89_289.2167m/z	13.97_315.1581m/z	9.74_333.2422m/z	10.43_285.1860m/z	14.64_663.3891m/z	15.80_315.2290m/z	9.05_269.1902m/z	8.50_363.2158m/z	16.25_385.2356m/z	14.47_349.1781m/z	12.63_301.1808m/z	10.90_333.1680m/z	10.90_339.1936m/z	15.23_295.1657m/z	15.99_299.1999m/z	17.03_285.2216m/z	16.46_601.4983m/z	8.55_317.1733m/z	17.24_289.1797m/z	10.93_317.2118m/z	13.28_363.2149m/z	15.05_299.1628m/z	11.32_389.2301m/z	11.87_287.1633m/z	14.93_313.2150m/z	8.40_325.1775m/z	13.70_305.2102m/z	16.05_313.2143m/z	15.60_315.2290m/z	6.65_317.2116m/z	10.09_329.2092m/z	15.72_325.1777m/z	9.44_371.2192m/z	9.64_693.4364m/z	9.84_287.1999m/z	13.64_329.2101m/z	8.41_303.1959m/z	17.38_335.2567m/z	17.01_307.2258m/z	14.09_331.1525m/z	12.85_315.1605m/z	7.74_369.2048m/z	7.68_751.4359m/z	9.57_357.2408m/z	15.41_288.1716n	12.95_337.2144m/z	8.72_344.1995n	10.95_271.2065m/z	16.52_331.2046m/z	12.93_315.2325m/z	15.28_313.2141m/z	12.07_288.2082n	14.16_721.3928m/z	14.04_311.1982m/z	16.72_343.1886m/z	14.64_272.1768n	6.38_385.1989m/z	13.72_271.1680m/z	13.06_316.2399n	15.73_357.2406m/z	12.98_299.1632m/z	10.58_317.2111m/z	11.62_305.2112m/z	6.30_401.1919m/z	12.91_339.2289m/z	6.28_379.2108m/z	9.10_331.2267m/z	7.68_747.4079m/z	13.05_316.2404n	8.38_304.2044n	7.59_304.2043n	9.77_289.1786m/z	9.39_332.2351n	10.85_377.2310m/z	17.36_376.2236n	8.90_320.1989n	10.58_359.2209m/z	10.34_289.2163m/z	8.10_348.2295n	10.93_330.2198n	10.34_449.3141n	9.39_304.2053n	8.16_302.1878n	10.73_332.2353n	7.63_362.2101n	9.04_715.4198m/z	10.48_330.2196n	10.83_286.1938n	14.64_399.1788m/z	9.04_346.2148n
OCT	1	159.0973353	136.6839426	32.85382023	88.34272646	144.7875276	153.6968428	206.5601099	18.34496428	205.2007603	114.3070655	30.69043398	205.8244303	20.60271978	98.17575973	23.38671518	184.0040431	0.408951552	66.78123195	41.39317079	235.757788	105.0264094	275.76184	151.6220217	57.36059557	232.66651	243.874483	269.0297437	78.21651358	219.0471843	106.9911475	209.0413831	179.5916615	182.6264622	60.54869532	154.7666998	91.10710541	282.4680384	44.56380656	236.1041933	139.9626614	7.378978053	366.2225679	26.77548923	7.041618866	16.14296004	268.0451305	95.16931564	22.98549564	156.3177366	428.9129565	121.5892567	430.8743461	97.67667683	297.3005528	576.5265123	454.740316	181.4765214	0	535.6406801	26.38282807	208.6181633	561.6853688	1.982155338	488.5213412	212.5579214	240.423159	240.1382906	532.0042716	474.4305	19.75348591	46.90904751	684.8642606	58.62424273	7.165574363	316.3937604	750.1719732	18.24634382	689.6824601	1199.919351	975.4355484	752.5947665	113.3774615	14.51645108	0.12197487	1027.14103	944.5572941	306.5555175	32.26245735	815.4776051	727.601066	592.7933057	77.16558944	45.45171259	635.8873282	1889.423475	1857.717142	51.07404559	807.2522043	64.63600806	2232.57868	2409.87138	12.9779893	59.10386722	141.1559915	2125.004687	0	369.108814	0.354935333	2524.893898	1370.040227	394.2867787	6034.245547	422.8222041	139.3691891	110.8110037	7.897051212	12.48825482	9227.091458	187.4864336	1746.290119	14317.23291	229.7474953	460.4880753	2143.150012	3294.710686	377.5815661	19900.22942	6143.036036	131.5536396	32190.43768
OCT	1	143.9004399	166.4144685	64.82034955	146.7847757	123.2503588	58.89007295	93.27171774	137.3917437	165.4580032	115.5746497	42.79231094	173.4019608	132.7187203	121.5052178	152.3645372	184.9860736	0.194043786	141.7696509	115.6148001	209.6274887	166.6435472	57.10238461	180.1297987	189.5018378	228.2162675	245.0503655	235.7442596	185.0054244	61.05466763	123.3334697	291.2015569	144.183025	244.8878069	254.2203682	315.0091969	194.0041436	476.4740758	226.6595141	212.4057849	216.4113146	5.61839696	319.7313624	163.8721423	161.7888469	47.25679633	360.628192	467.6873889	492.1401027	142.4619191	360.6864693	124.6384146	566.6945442	165.8230632	480.5816017	494.9083231	488.1789185	236.8811105	365.9064651	528.6257613	219.6049985	191.8410465	479.5778198	112.2779886	512.8879176	259.4090474	959.7133244	172.360153	624.6687671	482.3981443	241.4053039	148.7387741	999.6426256	238.5185359	0	397.0945585	691.4963251	399.7649427	658.6012053	992.7460429	957.5158062	863.8948574	594.1322144	65.71485503	7.543432388	979.3636961	1751.019872	1674.772639	704.9379111	790.3728811	1216.835245	520.7716754	737.2181321	142.4886998	683.899989	1942.10575	1710.208847	298.5965217	669.7347328	117.6254763	2101.420539	2312.919137	11.57606199	114.5913984	1753.793186	4848.562144	1905.544524	2252.295742	113.2149602	5960.482653	5651.895699	2172.05881	5528.078766	3023.635139	284.9573798	61.42209308	4601.132793	18.87664511	6243.471155	2496.838008	7846.153504	16299.14451	186.8338861	7519.357023	12179.97933	22642.64217	16117.95159	77380.71135	43586.77841	195.4524136	197335.2913
OCT	1	156.3110398	150.1410755	62.90087284	66.80231127	101.6611531	96.54124307	167.942698	67.72930201	192.217981	88.77532661	42.99289737	203.0799503	141.6547326	112.817177	97.23897408	169.043904	0	181.3833149	189.0544321	201.7211505	248.3937677	412.5171391	149.5825704	77.15492507	180.234773	171.3915754	224.8491416	81.82321162	131.7184189	99.74995366	130.2401608	187.367329	236.9160705	53.89093487	195.6816002	45.07303451	253.1535058	28.34989653	234.4994901	360.946041	5.116516846	321.4365978	184.5737071	70.3539717	27.81389057	260.9157262	245.9363042	74.09002108	137.2156813	340.4817843	129.3008015	361.0891138	61.11126569	337.9079076	491.23617	538.0945282	143.8072266	0	486.1121338	40.5772153	230.8860416	508.6436073	33.90403063	468.8761471	368.9172037	310.6903281	192.5921755	689.4904709	579.8634505	45.79034895	66.56903822	616.4223048	83.26497733	0	307.5870769	742.1995369	56.91182681	667.1727754	1069.194801	916.7673983	710.2582876	112.9691137	0	0	922.12136	2182.98156	533.7007177	217.4231748	780.0786005	1681.057104	664.2294412	286.5775965	83.92418473	1033.303314	1670.5303	1675.238752	110.4478204	691.9483292	107.8170825	2025.904913	2189.772891	2.867431831	82.1029256	151.9674352	2912.646702	6.556968958	1130.833835	8.875139118	3526.596529	1281.934495	652.1750203	5642.198814	561.5231829	171.4992994	128.4619423	188.2552439	24.88611785	6574.788878	405.9328676	10121.94354	12199.33815	147.4290769	1098.674826	6542.549521	2848.563996	2480.577873	29772.39148	25468.13218	241.8593805	82349.63565
OMC	1	172.7117845	175.6601825	104.9254948	59.60090914	90.51981975	77.6735142	140.4513994	54.11940723	178.9863444	221.3622208	18.74436144	201.6729649	54.18942597	153.5726605	83.18558076	168.3985503	0	158.0127283	157.1722712	206.3320785	157.2668039	36.440422	194.6290474	42.24092429	227.9325663	189.098083	262.5340112	104.2737711	77.19492527	85.33892466	116.9589308	184.54557	243.2782555	222.3891126	304.2570928	97.46832463	314.884526	419.4772866	230.2812267	230.8586801	0	314.1533091	55.79997874	98.20382755	11.12896689	215.4575489	340.6094084	303.1024882	145.6562774	374.6771372	106.7814304	464.0728697	76.25407797	314.3269747	446.7823174	479.4249608	181.1149185	143.627356	446.4511889	124.1541585	236.7781865	486.17015	43.7010661	431.7175692	331.9293845	355.7761133	171.2634774	643.2363108	443.5549013	160.6150777	121.66139	484.1491312	123.8215637	10.20292012	336.1445024	683.2632816	365.4430158	628.2644624	962.6160014	873.7883486	784.0029587	406.9136735	14.62718191	14.78737239	1149.771403	837.7949452	1016.966251	171.5114925	563.691869	628.7236159	718.0705146	477.7847294	94.76025551	749.2820323	2158.37261	1673.593373	318.1692314	674.4078317	56.19054382	2089.285613	2130.277516	0.61040727	83.12631773	811.5516148	2480.392754	733.6186641	1066.07494	21.00348982	3475.441546	4021.223046	1459.690439	5666.249134	1439.668795	238.0657752	123.9693415	2289.920905	12.79749286	4191.878827	1675.432579	3725.164357	12427.78351	193.7765984	6060.220571	7321.077509	12750.60724	6416.697462	39056.91214	29790.26423	213.0027189	128928.1796
OMC	1	156.5884874	154.0391028	94.05268428	181.4589548	120.6415217	103.6952964	118.2101484	88.92856846	184.392606	118.7997797	28.73282605	170.1099401	73.28246012	108.1794581	115.9205371	172.069319	0	195.7691089	220.7376112	178.7586415	184.073839	114.6165464	182.5922255	97.7360127	273.9359965	203.6311942	246.6343292	85.08550135	106.3504809	106.9776147	219.0075761	177.0912014	272.9077122	243.868258	268.1157764	133.259567	376.2921579	387.9965045	235.5980121	327.319271	27.55375468	361.1508489	77.62978858	103.5995929	24.38390757	350.3022891	394.4413857	344.3612195	99.61422196	469.6122882	95.43682493	458.6058467	75.66898567	392.8998633	520.9718732	525.8338132	138.3562981	290.2388119	520.252778	190.4160042	232.4769536	492.9172794	104.8580175	445.9388166	382.1799232	351.7554763	177.7808127	710.5995492	495.0262727	183.9237573	95.705792	539.5789475	157.2204417	5.73941759	398.7488929	737.6897296	396.4438669	611.3571405	967.2432568	1009.35927	839.713264	556.7353867	40.0212702	0.556098574	959.9125096	1054.308017	1219.294399	323.2262471	917.16494	709.5154869	831.1065996	483.9182229	155.2585763	981.3085821	1808.122098	1767.552586	277.9281953	701.1314942	122.1242687	2360.138662	2344.630327	0.000426761	81.76149202	1175.114479	3586.513827	1216.573321	1376.115701	27.81418297	4342.580514	5090.509433	1567.49042	5907.915402	1363.830362	289.2156519	76.5351059	3601.365459	18.18344338	5002.356898	1662.098607	4567.209027	13910.36565	163.5543417	6659.068536	9555.610102	17086.95079	7350.67762	47247.55706	32942.78262	150.2883959	142961.6906
ATC	1	154.4845109	184.0802972	48.78348493	164.5882035	192.5209784	48.44606371	149.0275296	172.0555812	233.3589619	108.3854383	12.67852141	228.9063186	157.407907	129.3728537	238.286947	236.7437571	0	364.709411	416.6101268	205.5279899	339.0092684	210.9535112	21.55433778	208.0801604	264.7686549	314.4508143	325.7068868	236.2843205	205.1706782	141.2457156	59.45012992	219.0778693	330.339716	385.3369676	243.5562881	192.1748757	518.2792892	695.8233056	359.7780418	539.451883	14.64173607	345.8493051	191.8380797	249.109468	470.0794269	450.8052204	694.8595765	581.3561314	166.7844222	477.1369735	139.934573	429.8127492	238.9619109	520.6572534	579.9679058	593.5166221	167.0642638	260.747464	592.1758477	227.3666561	306.7600636	635.7656069	131.3820444	578.1389175	609.3643794	711.5518394	258.1959263	843.1293369	709.4712635	350.4560693	144.7112813	817.3790891	254.0385116	0	554.2667679	841.3019875	587.7619886	697.6497012	1124.260423	1095.806815	885.7257206	554.3194112	30.01534569	20.67972323	1141.422404	1639.270337	2220.98894	908.9136517	817.2979036	1072.471612	1785.743799	1287.453479	222.4270476	2131.134976	2157.859821	1160.485602	345.001826	808.911846	73.60026359	2376.045011	2664.900259	16.21492906	73.64330987	994.1426961	5046.896427	1035.124414	2876.557439	78.88231391	6065.114047	5906.792694	2177.95394	6506.915487	1636.72618	154.2731738	75.46237538	4823.378223	96.23919001	8806.622476	2563.826677	9804.759379	19014.50092	281.9617739	8308.198118	16935.77803	20183.34574	19230.51627	77650.1227	63037.40804	153745.1894	242937.9281
ATC	1	150.9655384	157.2419389	48.98974795	166.6604944	128.9535066	73.648689	177.4155266	102.6105016	189.7281344	95.58090207	0.409494322	191.149122	158.0278894	109.6795074	131.6230712	173.4404461	0	195.969557	158.7549733	176.8534267	162.8333614	42.64796545	8.017900767	73.79973014	220.3616323	156.0266115	265.0085547	129.1695879	86.51872247	98.52878242	50.86656778	190.4314427	269.9171183	101.9697559	247.3833749	90.38514691	270.6614456	54.31751529	328.1854893	372.0927998	9.408304592	316.9620623	197.2004301	95.59743641	391.6368502	414.8481571	284.2137578	151.9429338	149.02155	383.3720686	99.93060503	442.0194324	125.3272902	287.5118362	467.461141	420.9616374	173.0334258	20.25067272	490.7405143	80.04132568	278.5610459	498.4859914	55.87489782	522.5395904	509.1889107	180.5785326	184.7906183	690.6625866	537.1786016	76.21615385	64.70350543	497.2591795	99.76242122	0	263.9798888	814.8297937	106.920234	592.5158384	962.17198	832.9919753	731.6272927	190.9364513	4.200473779	10.27335678	1130.674567	1817.386578	842.779894	491.178597	495.6192831	1217.380329	1856.166151	461.6046907	65.85949223	1529.170768	1731.103927	835.8461589	162.1566341	663.1317446	101.8856582	2047.380352	2121.02053	17.8042159	38.31349572	182.7691616	4267.774461	18.62530065	1317.83756	0.062076949	5102.845403	1450.497769	848.5031482	5367.501122	409.2035261	306.6836763	70.28720227	320.6849008	60.3870111	5931.501459	824.6284509	8984.937628	12304.22194	145.6192639	1105.278826	10619.85377	3533.862702	4044.655127	40014.33125	26919.67681	139723.1113	101773.5235
ATC	1	149.0730077	153.581116	35.62194871	327.1305603	83.03809822	36.37175202	102.7635914	79.91743409	149.4338556	108.9223565	21.52720771	287.0873763	101.6187909	140.735783	182.2205632	189.4889894	0.500850254	265.904012	262.4716897	191.2771527	185.0303369	64.25549212	1.358143752	141.3403354	227.4767964	133.4253799	239.0305242	213.9371724	76.35800367	154.6732919	78.15699703	177.7403629	272.9678104	211.9239981	277.214872	106.6629056	303.9489609	296.3720929	355.5078877	396.4725664	6.14045282	247.3271195	108.6342986	124.7645266	622.9036813	469.2781662	366.7070117	355.8482777	143.6990186	380.0820631	115.6208636	331.4177782	136.4559784	309.8184216	535.0211261	473.7026504	221.7779108	121.1321445	480.4502674	135.4945026	266.9132718	509.7275336	96.09712471	491.2204686	605.7404272	484.8788116	165.1357604	705.0327516	546.2849254	199.6981118	75.84913642	591.6100908	164.345363	0	296.153669	792.075822	297.4982056	643.4207537	962.9359593	827.5495285	758.2645767	333.4542094	32.7166559	8.511926749	1037.355463	922.542782	1239.886611	509.6769855	407.755857	635.9192832	2289.781815	633.3569121	60.24207146	2074.719463	1857.494856	1053.22608	277.5497221	600.6233445	69.32915554	2071.848427	2016.629006	3.18147237	69.25466846	769.9522399	2549.50966	595.8592655	1265.569091	40.89873305	3240.880561	3505.473179	1469.461584	5491.086529	981.6949824	316.1829235	77.71522289	1963.240488	14.99289412	4323.690253	1632.817267	4760.224154	11484.12284	263.8481343	4973.744938	7926.427215	10920.55531	7292.4831	41247.19008	32979.24651	75412.3349	133466.1835
LIN	1	131.48491	164.2027808	42.71003018	93.50649956	75.24772982	78.27274192	153.3804761	83.28568232	195.8322545	83.671023	39.80616982	277.7129133	91.61193707	101.7066203	150.9344586	195.2390842	13.16977186	220.8552707	210.0330821	210.29506	153.8559055	419.1423135	206.7147858	159.6885461	217.7133809	166.9644303	241.9223253	137.4407535	201.9962485	119.2656441	127.2467885	190.0635926	244.425471	290.1659036	219.9664438	141.0966754	330.8155894	267.5793923	339.0491074	180.9485035	0.132917042	303.6451288	117.9675226	136.2939247	8.460311689	339.7873258	469.3693499	349.3608993	138.8933151	395.1421758	128.060121	415.890517	99.48661094	421.4932712	545.2889753	583.2086689	163.2878497	43.43745912	546.2296935	184.4429486	305.4782693	598.5064678	35.27295429	462.9295818	476.9489277	540.9737864	208.0033091	658.4379447	493.4395658	239.3724625	144.7243304	735.625571	181.7599939	0	489.1319414	896.6922686	470.4403484	697.7216555	1010.401479	993.5643771	824.1832604	444.8938921	24.29073225	72.37833258	1041.526924	1009.068705	1459.131885	216.639403	554.6855623	734.7109224	1948.810433	770.5940408	86.20545452	1568.620816	1619.831812	1811.504352	277.6862646	765.6142881	81.84124313	2198.98951	2472.045386	16.13640752	120.8576735	303.8247257	2858.400622	298.1314291	1697.333533	0	3554.9219	4453.662352	2015.909128	6138.271139	2849.307506	227.7648974	109.1456006	1530.470077	43.64527486	5970.453756	2160.350584	6047.254415	14007.55099	119.7164224	7804.289914	10494.97615	9323.939049	11372.98971	56367.67034	42946.38842	195.4785878	180741.0945
LIN	1	155.6846667	167.3772054	24.10628274	108.3541423	135.3814545	74.7175356	176.8169058	96.40384228	177.6549464	103.8808753	41.58573215	178.3243717	67.91426587	132.1041436	90.06307439	196.6617836	0	173.1502502	136.3246941	199.6678767	140.2001873	261.1770669	191.2105897	104.0046772	272.1630033	267.8108457	262.314412	93.89027462	95.05073465	117.0071301	218.4723653	183.2279816	224.4049351	242.0602709	213.0951362	144.4693624	384.9031377	260.6889904	270.7394865	267.6521211	0	373.3740037	115.7272121	93.92765274	17.48694796	349.4871104	419.0302308	353.7123566	169.6589696	409.7244861	146.6530037	474.1429817	154.1947179	447.85692	563.7233098	518.7346135	208.363796	121.5007881	543.0955196	212.2152324	249.4156792	530.1009762	52.92286989	592.3208541	321.7767105	328.1197711	200.9950413	605.6192399	484.105866	199.3615868	184.4568446	508.6429978	179.1852698	13.19802865	297.09997	703.6349685	256.4761519	681.7455187	1155.991957	989.9537371	941.2646348	517.2289146	37.35043153	3.891491118	940.8620387	1082.369687	1350.829639	432.183808	705.2258216	771.8380698	985.1340837	491.4471848	62.5679584	996.2844618	1860.476386	1752.618941	226.1141433	750.4560537	110.6128534	2154.9642	2389.989919	4.414444219	57.74142648	742.8515498	3402.012363	728.9272129	1371.888993	27.68879509	4381.097074	4810.294812	1583.580533	6014.732051	2629.00876	286.0421622	124.6860218	1954.030967	47.73555327	5523.657158	1779.280322	4690.870384	14652.66843	204.3874172	4975.89057	9773.08049	13468.02952	8684.394152	60389.06641	28859.75554	116.3089173	152170.2015
